date,val,volume
"Oct 27, 2009",197.37,27019700
"Oct 28, 2009",192.40,29228100
"Oct 29, 2009",196.35,20366800
"Oct 30, 2009",188.50,25625900
"Nov 2, 2009",189.31,24249400
"Nov 3, 2009",188.75,18662200
"Nov 4, 2009",190.81,17411800
"Nov 5, 2009",194.03,13742900
"Nov 6, 2009",194.34,10539200
"Nov 9, 2009",201.46,18887700
"Nov 10, 2009",202.98,14328400
"Nov 11, 2009",203.25,15852500
"Nov 12, 2009",201.99,12990400
"Nov 13, 2009",204.45,12258600
"Nov 16, 2009",206.63,17328800
"Nov 17, 2009",207.00,14161200
"Nov 18, 2009",205.96,13368600
"Nov 19, 2009",200.51,19368800
"Nov 20, 2009",199.92,14523800
"Nov 23, 2009",205.88,16960600
"Nov 24, 2009",204.44,11372800
"Nov 25, 2009",204.19,10230500
"Nov 27, 2009",200.59,10544900
"Nov 30, 2009",199.91,15173500
"Dec 1, 2009",196.97,16634400
"Dec 2, 2009",196.23,25545000
"Dec 3, 2009",196.48,16025700
"Dec 4, 2009",193.32,29531600
"Dec 7, 2009",188.95,25527100
"Dec 8, 2009",189.87,24657100
"Dec 9, 2009",197.80,24456500
"Dec 10, 2009",196.43,17488200
"Dec 11, 2009",194.67,15349100
"Dec 14, 2009",196.98,17706800
"Dec 15, 2009",194.17,14980700
"Dec 16, 2009",195.03,12606600
"Dec 17, 2009",191.86,13887100
"Dec 18, 2009",195.43,21741800
"Dec 21, 2009",198.23,21853800
"Dec 22, 2009",200.36,12482700
"Dec 23, 2009",202.10,12340200
"Dec 24, 2009",209.04,17888900
"Dec 28, 2009",211.61,23020200
"Dec 29, 2009",209.10,15900200
"Dec 30, 2009",211.64,14717300
"Dec 31, 2009",210.73,12586100
"Jan 4, 2010",214.01,17633200
"Jan 5, 2010",214.38,21496600
"Jan 6, 2010",210.97,19720000
"Jan 7, 2010",210.58,17040400
"Jan 8, 2010",211.98,15986100
"Jan 11, 2010",210.11,16508200
"Jan 12, 2010",207.72,21230700
"Jan 13, 2010",210.65,21639000
"Jan 14, 2010",209.43,15460500
"Jan 15, 2010",205.93,21216700
"Jan 19, 2010",215.04,26071700
"Jan 20, 2010",211.73,21862600
"Jan 21, 2010",208.07,21719800
"Jan 22, 2010",197.75,31491700
"Jan 25, 2010",203.07,38060700
"Jan 26, 2010",205.94,66682500
"Jan 27, 2010",207.88,61520300
"Jan 28, 2010",199.29,41910800
"Jan 29, 2010",192.06,44498300
"Feb 1, 2010",194.73,26781300
"Feb 2, 2010",195.86,24940800
"Feb 3, 2010",199.23,21976000
"Feb 4, 2010",192.05,27059000
"Feb 5, 2010",195.46,30368100
"Feb 8, 2010",194.12,17081100
"Feb 9, 2010",196.19,22603100
"Feb 10, 2010",195.12,13227200
"Feb 11, 2010",198.67,19655200
"Feb 12, 2010",200.38,23409600
"Feb 16, 2010",203.40,19419200
"Feb 17, 2010",202.55,15585600
"Feb 18, 2010",202.93,15100900
"Feb 19, 2010",201.67,14838200
"Feb 22, 2010",200.42,13948700
"Feb 23, 2010",197.06,20539100
"Feb 24, 2010",200.66,16448800
"Feb 25, 2010",202.00,23754500
"Feb 26, 2010",204.62,18123600
"Mar 1, 2010",208.99,19646200
"Mar 2, 2010",208.85,20233800
"Mar 3, 2010",209.33,13287600
"Mar 4, 2010",210.71,13072900
"Mar 5, 2010",218.95,32129300
"Mar 8, 2010",219.08,15353200
"Mar 9, 2010",223.02,32866400
"Mar 10, 2010",224.84,21293500
"Mar 11, 2010",225.50,14489300
"Mar 12, 2010",226.60,14868700
"Mar 15, 2010",223.84,17625100
"Mar 16, 2010",224.45,15961000
"Mar 17, 2010",224.12,16105600
"Mar 18, 2010",224.65,12218200
"Mar 19, 2010",222.25,19980200
"Mar 22, 2010",224.75,16300700
"Mar 23, 2010",228.36,21515400
"Mar 24, 2010",229.37,21349300
"Mar 25, 2010",226.65,19367300
"Mar 26, 2010",230.90,22888400
"Mar 29, 2010",232.39,19312300
"Mar 30, 2010",235.85,18832500
"Mar 31, 2010",235.00,15380700
"Apr 1, 2010",235.97,21540900
"Apr 5, 2010",238.49,24446700
"Apr 6, 2010",239.54,15964900
"Apr 7, 2010",240.60,22446500
"Apr 8, 2010",239.95,20463900
"Apr 9, 2010",241.79,11935100
"Apr 12, 2010",242.29,11893800
"Apr 13, 2010",242.43,10936100
"Apr 14, 2010",245.69,14431300
"Apr 15, 2010",248.92,13456600
"Apr 16, 2010",247.40,26805200
"Apr 19, 2010",247.07,20247300
"Apr 20, 2010",244.59,26368800
"Apr 21, 2010",259.22,35085400
"Apr 22, 2010",266.47,28336600
"Apr 23, 2010",270.83,28462700
"Apr 26, 2010",269.50,17109600
"Apr 27, 2010",262.04,25333700
"Apr 28, 2010",261.60,27085800
"Apr 29, 2010",268.64,19958600
"Apr 30, 2010",261.09,19373700
"May 3, 2010",266.35,16226500
"May 4, 2010",258.68,25850700
"May 5, 2010",255.99,31539400
"May 6, 2010",246.25,45923600
"May 7, 2010",235.86,59857800
"May 10, 2010",253.99,35153800
"May 11, 2010",256.52,30318100
"May 12, 2010",262.09,23370700
"May 13, 2010",258.36,21418300
"May 14, 2010",253.82,27120100
"May 17, 2010",254.22,27244100
"May 18, 2010",252.36,27952800
"May 19, 2010",248.34,36633100
"May 20, 2010",237.76,45818400
"May 21, 2010",242.32,43710400
"May 24, 2010",246.76,26937100
"May 25, 2010",245.22,37428800
"May 26, 2010",244.11,30380500
"May 27, 2010",253.35,23795800
"May 28, 2010",256.88,29129100
"Jun 1, 2010",260.83,31302600
"Jun 2, 2010",263.95,24591000
"Jun 3, 2010",263.12,23218100
"Jun 4, 2010",255.96,27082300
"Jun 7, 2010",250.94,31676500
"Jun 8, 2010",249.33,35741800
"Jun 9, 2010",243.20,30522500
"Jun 10, 2010",250.51,27727000
"Jun 11, 2010",253.51,19491400
"Jun 14, 2010",254.28,21534300
"Jun 15, 2010",259.69,20895500
"Jun 16, 2010",267.25,27988500
"Jun 17, 2010",271.87,31173400
"Jun 18, 2010",274.07,28022200
"Jun 21, 2010",270.17,27731800
"Jun 22, 2010",273.85,25616500
"Jun 23, 2010",270.97,27444900
"Jun 24, 2010",269.00,25509900
"Jun 25, 2010",266.70,19640800
"Jun 28, 2010",268.30,20891000
"Jun 29, 2010",256.17,40476600
"Jun 30, 2010",251.53,26409000
"Jul 1, 2010",248.48,36532000
"Jul 2, 2010",246.94,24780100
"Jul 6, 2010",248.63,21972700
"Jul 7, 2010",258.67,23377000
"Jul 8, 2010",258.09,26362300
"Jul 9, 2010",259.62,15475800
"Jul 12, 2010",257.29,20102800
"Jul 13, 2010",251.80,42533000
"Jul 14, 2010",252.73,29001700
"Jul 15, 2010",251.45,29459500
"Jul 16, 2010",249.90,37137800
"Jul 19, 2010",245.58,36588500
"Jul 20, 2010",251.89,38391100
"Jul 21, 2010",254.24,42345400
"Jul 22, 2010",259.02,23047100
"Jul 23, 2010",259.94,19049600
"Jul 26, 2010",259.28,15019700
"Jul 27, 2010",264.08,20884700
"Jul 28, 2010",260.96,18570900
"Jul 29, 2010",258.11,22993100
"Jul 30, 2010",257.25,16007500
"Aug 2, 2010",261.85,15287700
"Aug 3, 2010",261.93,14916200
"Aug 4, 2010",262.98,15013400
"Aug 5, 2010",261.70,10324900
"Aug 6, 2010",260.09,15889200
"Aug 9, 2010",261.75,10826000
"Aug 10, 2010",259.41,16140000
"Aug 11, 2010",250.19,22144800
"Aug 12, 2010",251.79,19104300
"Aug 13, 2010",249.10,12673900
"Aug 16, 2010",247.64,11372500
"Aug 17, 2010",251.97,15094300
"Aug 18, 2010",253.07,12132000
"Aug 19, 2010",249.88,15239500
"Aug 20, 2010",249.64,13722500
"Aug 23, 2010",245.80,14787200
"Aug 24, 2010",239.93,21520200
"Aug 25, 2010",242.89,21316700
"Aug 26, 2010",240.28,16660900
"Aug 27, 2010",241.62,19585400
"Aug 30, 2010",242.50,13688900
"Aug 31, 2010",243.10,15028100
"Sep 1, 2010",250.33,24894200
"Sep 2, 2010",252.17,14836700
"Sep 3, 2010",258.77,18599600
"Sep 7, 2010",257.81,12234200
"Sep 8, 2010",262.92,18805400
"Sep 9, 2010",263.07,15663400
"Sep 10, 2010",263.41,13840800
"Sep 13, 2010",267.04,13885000
"Sep 14, 2010",268.06,14576800
"Sep 15, 2010",270.22,15334600
"Sep 16, 2010",276.57,23289400
"Sep 17, 2010",275.37,22659900
"Sep 20, 2010",283.23,23524200
"Sep 21, 2010",283.77,23859800
"Sep 22, 2010",287.75,20903200
"Sep 23, 2010",288.92,28075600
"Sep 24, 2010",292.32,23196000
"Sep 27, 2010",291.16,17244100
"Sep 28, 2010",286.86,36965800
"Sep 29, 2010",287.37,16773000
"Sep 30, 2010",283.75,24049700
"Oct 1, 2010",282.52,16005100
"Oct 4, 2010",278.64,15546500
"Oct 5, 2010",288.94,17927400
"Oct 6, 2010",289.19,23959600
"Oct 7, 2010",289.22,14585700
"Oct 8, 2010",294.07,23514400
"Oct 11, 2010",295.36,15276900
"Oct 12, 2010",298.54,19948000
"Oct 13, 2010",300.14,22503300
"Oct 14, 2010",302.31,15546300
"Oct 15, 2010",314.74,32935500
"Oct 18, 2010",318.00,39036100
"Oct 19, 2010",309.49,44028000
"Oct 20, 2010",310.53,25772300
"Oct 21, 2010",309.52,19695000
"Oct 22, 2010",307.47,13313500
"Oct 25, 2010",308.84,14016500
"Oct 26, 2010",308.05,14033200
"Oct 27, 2010",307.83,14250100
"Oct 28, 2010",305.24,19680400
"Oct 29, 2010",300.98,15375400
"Nov 1, 2010",304.18,15138900
"Nov 2, 2010",309.36,15497500
"Nov 3, 2010",312.80,18155300
"Nov 4, 2010",318.27,22946000
"Nov 5, 2010",317.13,12901900
"Nov 8, 2010",318.62,10062800
"Nov 9, 2010",316.08,13698000
"Nov 10, 2010",318.03,13722400
"Nov 11, 2010",316.65,12903000
"Nov 12, 2010",308.03,28423100
"Nov 15, 2010",307.04,14414500
"Nov 16, 2010",301.59,23487500
"Nov 17, 2010",300.50,17123200
"Nov 18, 2010",308.43,17660400
"Nov 19, 2010",306.73,13744400
"Nov 22, 2010",313.36,14038400
"Nov 23, 2010",308.73,18551700
"Nov 24, 2010",314.80,14775900
"Nov 26, 2010",315.00,8485200
"Nov 29, 2010",316.87,15920900
"Nov 30, 2010",311.15,17923500
"Dec 1, 2010",316.40,16491100
"Dec 2, 2010",318.15,16529900
"Dec 3, 2010",317.44,12217600
"Dec 6, 2010",320.15,16017200
"Dec 7, 2010",318.21,13980500
"Dec 8, 2010",321.01,11497700
"Dec 9, 2010",319.76,10505400
"Dec 10, 2010",320.56,9375400
"Dec 13, 2010",321.67,15707700
"Dec 14, 2010",320.29,12536000
"Dec 15, 2010",320.36,14904000
"Dec 16, 2010",321.25,11501100
"Dec 17, 2010",320.61,13818900
"Dec 20, 2010",322.21,13771800
"Dec 21, 2010",324.20,9155500
"Dec 22, 2010",325.16,9497200
"Dec 23, 2010",323.60,7969900
"Dec 27, 2010",324.68,8922000
"Dec 28, 2010",325.47,6283000
"Dec 29, 2010",325.29,5826400
"Dec 30, 2010",323.66,5624800
"Dec 31, 2010",322.56,6911000
"Jan 3, 2011",329.57,15897800
"Jan 4, 2011",331.29,11038600
"Jan 5, 2011",334.00,9125700
"Jan 6, 2011",333.73,10729600
"Jan 7, 2011",336.12,11140400
"Jan 10, 2011",342.45,16020000
"Jan 11, 2011",341.64,15861000
"Jan 12, 2011",344.42,10806800
"Jan 13, 2011",345.68,10599300
"Jan 14, 2011",348.48,11030000
"Jan 18, 2011",340.65,67178500
"Jan 19, 2011",338.84,40557600
"Jan 20, 2011",332.68,27313900
"Jan 21, 2011",326.72,26942900
"Jan 24, 2011",337.45,20524400
"Jan 25, 2011",341.40,19531000
"Jan 26, 2011",343.85,18102700
"Jan 27, 2011",343.21,10179500
"Jan 28, 2011",336.10,21144900
"Jan 31, 2011",339.32,13473100
"Feb 1, 2011",345.03,15236900
"Feb 2, 2011",344.32,9248400
"Feb 3, 2011",343.44,14064200
"Feb 4, 2011",346.50,11494300
"Feb 7, 2011",351.88,17322200
"Feb 8, 2011",355.20,13608600
"Feb 9, 2011",358.16,17240900
"Feb 10, 2011",354.54,33162500
"Feb 11, 2011",356.85,13127600
"Feb 14, 2011",359.18,11086300
"Feb 15, 2011",359.90,10149100
"Feb 16, 2011",363.13,17184200
"Feb 17, 2011",358.30,18949400
"Feb 18, 2011",350.56,29144900
"Feb 22, 2011",338.61,31162700
"Feb 23, 2011",342.62,23994800
"Feb 24, 2011",342.88,17853600
"Feb 25, 2011",348.16,13572100
"Feb 28, 2011",353.21,14395500
"Mar 1, 2011",349.31,16290600
"Mar 2, 2011",352.12,21521100
